sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
126,223,,170.76117689758843,-181.1251586143436,,0.252,0.446,,0.194,,81.9672131147541,0,0.975066613352102,85.62333466619745
492,596,,156.82152815369327,-151.51368825221897,,0.984,1.192,,0.20799999999999996,,83.79888268156425,1,0.9482031009417068,86.29492247645733
850,943,,156.61365546146786,-142.70189317033672,,1.7,1.886,,0.18599999999999994,,83.56545961002786,2,0.8827324143427066,87.93168964143234
1209,1298,,177.02722704177438,-180.6766840192313,,2.418,2.596,,0.17799999999999994,,86.20689655172414,3,0.8535325813719764,88.66168546570059
1557,1650,,163.69971807560086,-122.90420711679384,,3.114,3.3,,0.18599999999999994,,90.63444108761328,4,1.3812632783992567,75.46841804001858
1888,1983,,106.2923069566842,-122.54447215386959,,3.776,3.966,,0.1900000000000004,,90.36144578313252,5,0.8550468413539084,88.62382896615229
2220,2314,,135.77512030286167,-139.09863085158167,,4.44,4.628,,0.18799999999999972,,87.97653958944281,6,1.2377280153134964,79.0567996171626
2561,2652,,154.71598346252225,-138.3452708419676,,5.122,5.304,,0.18200000000000038,,90.09009009009009,7,1.3313100859691258,76.71724785077186
2894,2991,3075.0,138.5952171921134,-132.4112839623811,-43.183244650457794,5.788,5.982,6.15,0.19399999999999995,0.3620000000000001,83.10249307479225,8,1.0797036170097531,83.00740957475617
3255,3351,3456.0,134.33393142881272,-121.60582251488187,-25.370367948826527,6.51,6.702,6.912,0.19200000000000017,0.40200000000000014,75.94936708860759,9,0.9917148141983353,85.20712964504162
3650,3744,3829.0,156.05684033502047,-160.55164839934474,-39.36634417530932,7.3,7.488,7.658,0.1880000000000006,0.35800000000000054,79.57559681697613,10,1.02606427681166,84.3483930797085
4027,4121,,166.14512940809735,-140.9270365508633,,8.054,8.242,,0.1880000000000006,,78.74015748031496,11,1.0571806005640836,83.5704849858979
4408,4496,,151.93037615076335,-163.18025935292314,,8.816,8.992,,0.17600000000000016,,84.74576271186442,12,0.9161672308808937,87.09581922797766
4762,4855,4958.0,197.17067734758052,-180.4129375069601,-41.653607971041694,9.524,9.71,9.916,0.18600000000000172,0.39200000000000124,80.21390374331551,13,0.9151935943297099,87.12016014175725
5136,5235,,179.23052862499912,-172.38811177038832,,10.272,10.47,,0.1980000000000004,,75.56675062972292,14,1.0474909062608464,83.81272734347884
5533,5630,,174.38700209757755,-194.08379782054968,,11.066,11.26,,0.19399999999999906,,82.19178082191782,15,1.0646362636964584,83.38409340758854
5898,5990,6073.0,175.33696092071773,-175.16715931938506,-36.58849486004753,11.796,11.98,12.146,0.18400000000000105,0.3500000000000014,85.71428571428572,16,0.9771295148458344,85.57176212885415
6248,6342,6430.0,179.9007740269666,-181.7046614535688,-42.07701465487727,12.496,12.684,12.86,0.18799999999999883,0.363999999999999,83.79888268156425,17,0.7589647466457997,91.02588133385501
6606,6705,,193.33997462146095,-165.74223979328607,,13.212,13.41,,0.1980000000000004,,84.26966292134831,18,0.380623921118393,100.48440197204017
6962,7054,,147.5127834194563,-169.30527486768145,,13.924,14.108,,0.18400000000000105,,89.02077151335311,19,1.080178791006724,82.9955302248319
7299,7389,,195.01359634734035,-198.75935740448617,,14.598,14.778,,0.17999999999999972,,90.09009009009009,20,1.05372516123714,83.65687096907149
7632,7725,,198.4006584383877,-201.98927319949175,,15.264,15.45,,0.18599999999999994,,88.49557522123894,21,1.0738693124632461,83.15326718841885
7971,8074,,207.49891495946864,-211.35805524104643,,15.942,16.148,,0.20599999999999952,,85.9598853868195,22,1.0259791169171526,84.35052207707119
8320,8428,,202.3402490829076,-200.96553239337928,,16.64,16.856,,0.21600000000000108,,83.79888268156425,23,0.9591071884604389,86.02232028848903
8678,8770,,164.69967516945488,-199.71544420004514,,17.356,17.54,,0.1839999999999975,,89.02077151335311,24,0.9787572954643033,85.53106761339242
9015,9112,,199.30277403312212,-195.92738271006797,,18.03,18.224,,0.19399999999999906,,81.52173913043478,25,0.9153404425480584,87.11648893629854
9383,9481,,181.6435168390605,-228.56430554208725,,18.766,18.962,,0.1960000000000015,,80.86253369272237,26,0.9724486794368865,85.68878301407784
9754,9846,9921.0,216.01185812698156,-200.48777291247458,-32.659436442527344,19.508,19.692,19.842,0.18400000000000105,0.33399999999999963,88.49557522123894,27,0.9355805102084899,86.61048724478775
10093,10197,,163.06646412805998,-128.6563112078861,,20.186,20.394,,0.2079999999999984,,81.9672131147541,28,0.9474418703115478,86.31395324221131
10459,10555,,180.86245923188372,-159.70470571422527,,20.918,21.11,,0.19200000000000017,,81.08108108108108,29,1.3284816740645278,76.7879581483868
10829,10918,,146.812624736103,-164.01430790461083,,21.658,21.836,,0.17799999999999727,,85.71428571428572,30,0.7771478731857395,90.57130317035652
11179,11271,11358.0,139.74791405144143,-155.42165111194487,-26.38297687083345,22.358,22.542,22.716,0.18400000000000105,0.35800000000000054,85.9598853868195,31,1.0165770811305146,84.58557297173714
11528,11619,,160.58097336830025,-142.593745985764,,23.056,23.238,,0.1819999999999986,,91.46341463414633,32,1.0321960009039917,84.1950999774002
11856,11961,,103.00964714604467,-130.29361303148218,,23.712,23.922,,0.21000000000000085,,81.9672131147541,33,1.3461262569648267,76.34684357587933
12222,12311,12422.0,130.86854229327415,-119.16113331077896,-2.176069679774751,24.444,24.622,24.844,0.17800000000000082,0.40000000000000213,86.20689655172414,34,0.987309862471483,85.31725343821293
12570,12658,,125.30714999573004,-111.6989151124351,,25.14,25.316,,0.17599999999999838,,84.98583569405099,35,0.6478209538369822,93.80447615407545
12923,13014,13093.0,114.33460434321438,-103.30613258019602,-15.769323224847577,25.846,26.028,26.186,0.1819999999999986,0.33999999999999986,85.71428571428572,36,6.785737071199682,-59.64342677999204
13273,13364,,100.6189559952233,-97.37024757047485,,26.546,26.728,,0.18200000000000216,,82.64462809917356,37,2.0294296752402237,59.264258118994405
13636,13726,,135.8289589292713,-97.1894189357551,,27.272,27.452,,0.18000000000000327,,86.45533141210375,38,1.2098165514101724,79.75458621474569
13983,14074,,103.09202144969903,-101.41610262747776,,27.966,28.148,,0.1819999999999986,,86.95652173913044,39,1.1083295379533786,82.29176155116554
14328,14420,,119.60136619462382,-131.42421667056803,,28.656,28.84,,0.18400000000000105,,88.49557522123894,40,1.0870239024096566,82.82440243975859
14667,14751,,118.17737026961352,-118.80589419689487,,29.334,29.502,,0.16799999999999926,,90.36144578313252,41,0.9989346995889193,85.02663251027701
14999,15088,15206.0,144.24041597503808,-136.4558767031024,-15.37597457174619,29.998,30.176,30.412,0.17799999999999727,0.4139999999999979,90.09009009009009,42,0.8722423742747119,88.19394064313221
15332,15426,,147.20719405038938,-122.18551822855576,,30.664,30.852,,0.18799999999999883,,92.3076923076923,43,0.7521259545856537,91.19685113535866
15657,15760,15853.0,122.43565864081525,-110.46538563597758,-35.00625452393206,31.314,31.52,31.706,0.20599999999999952,0.39199999999999946,87.46355685131195,44,1.0653037350137027,83.36740662465743
16000,16101,,131.32585618075706,-105.52859306456952,,32.0,32.202,,0.20199999999999818,,85.22727272727273,45,1.1205910029487796,81.98522492628051
16352,16442,,101.42399358152876,-113.74038072348748,,32.704,32.884,,0.17999999999999972,,91.1854103343465,46,1.8056417200216954,64.8589569994576
16681,16783,16957.0,112.82245864458415,-125.96663117981699,68.92428183842009,33.362,33.566,33.914,0.20400000000000063,0.5519999999999996,85.47008547008548,47,1.0641994775499448,83.39501306125138
17032,17132,,106.7185957311433,-137.9562388269154,,34.064,34.264,,0.20000000000000284,,81.30081300813008,48,1.1914670149586795,80.21332462603301
17401,17493,17570.0,139.01891954790437,-136.32895166494058,-16.96923676348782,34.802,34.986,35.14,0.1839999999999975,0.33800000000000097,88.23529411764706,49,1.0426264166571229,83.93433958357193
17741,17832,,129.86848403794554,-128.82089152364566,,35.482,35.664,,0.18200000000000216,,89.02077151335311,50,0.8771062829660574,88.07234292584856
18078,18166,,127.50302349661384,-106.17572722312761,,36.156,36.332,,0.17600000000000193,,92.3076923076923,51,0.920371383463448,86.9907154134138
18403,18500,,125.9145491012021,-134.35060989259074,,36.806,37.0,,0.19400000000000261,,83.10249307479225,52,0.22694910419571135,104.32627239510721
18764,18864,19011.0,168.13859133773343,-141.26170974082686,15.291238405553585,37.528,37.728,38.022,0.20000000000000284,0.4939999999999998,85.22727272727273,53,-0.1916818401868355,114.7920460046709
19116,19197,,133.33628858151357,-154.8090817108561,,38.232,38.394,,0.16199999999999903,,89.82035928143712,54,0.9184380329945698,87.03904917513576
19450,19538,,163.92757595136086,-184.66238551033598,,38.9,39.076,,0.17600000000000193,,89.82035928143712,55,1.2910323822359115,77.72419044410222
19784,19879,,203.1605082181207,-194.95973793314005,,39.568,39.758,,0.19000000000000483,,92.5925925925926,56,-1.2759683138785067,141.89920784696267
20108,20199,,198.36956053007802,-180.69623052370497,,40.216,40.398,,0.18200000000000216,,89.55223880597015,57,0.9097037091130604,87.25740727217348
