sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
31,125,209.0,164.1668705004088,-211.30688911818777,-67.20906640004844,0.062,0.25,0.418,0.188,0.356,77.31958762886597,0,0.27332737148160186,103.16681571295996
419,523,605.0,258.05160971756504,-229.86554307520174,-105.90864022066437,0.838,1.046,1.21,0.20800000000000007,0.372,73.52941176470588,1,0.7536137707867957,91.15965573033012
827,926,1005.0,247.6012047111867,-204.7281979739737,-83.74511362954125,1.654,1.852,2.01,0.19800000000000018,0.35599999999999987,76.53061224489795,2,1.0630524341805783,83.42368914548554
1219,1315,1389.0,221.78213283680776,-205.72452971253492,-64.2774256259499,2.438,2.63,2.778,0.19199999999999973,0.33999999999999986,76.33587786259541,3,1.1469785492415312,81.32553626896171
1612,1713,1796.0,252.17466385375653,-226.50132335614916,-88.3900117542918,3.224,3.426,3.592,0.20199999999999996,0.3679999999999999,74.81296758104737,4,0.9566626802309723,86.08343299422569
2013,2113,2191.0,249.03906135181975,-209.20674293181648,-94.49563728810273,4.026,4.226,4.382,0.20000000000000018,0.35599999999999987,75.56675062972292,5,0.9070241018495064,87.32439745376234
2410,2509,2588.0,232.8001228851869,-197.22856410121898,-76.46811606015245,4.82,5.018,5.176,0.1979999999999995,0.35599999999999987,74.44168734491315,6,1.628155659398229,69.29610851504427
2813,2911,2989.0,207.99783952779603,-180.21198504290322,-67.6465637987007,5.626,5.822,5.978,0.19599999999999973,0.3519999999999994,75.56675062972292,7,0.8793785241636749,88.01553689590813
3210,3304,3379.0,179.03706707752102,-156.40764832079537,-52.420558921361916,6.42,6.608,6.758,0.18799999999999972,0.3380000000000001,81.30081300813008,8,1.2229283763713135,79.42679059071716
3579,3675,3755.0,180.2329678786016,-165.7323770241878,-51.89430092195633,7.158,7.35,7.51,0.19199999999999928,0.3519999999999994,78.32898172323759,9,0.9323313086183334,86.69171728454167
3962,4062,4147.0,199.1507462359847,-180.59254431888638,-72.36812953283277,7.924,8.124,8.294,0.20000000000000018,0.3700000000000001,74.62686567164178,10,0.901519262676418,87.46201843308955
4364,4462,4543.0,194.8583289429946,-169.75722743162575,-66.83629616860316,8.728,8.924,9.086,0.19599999999999973,0.35800000000000054,76.92307692307692,11,0.0979481179828932,107.55129705042766
4754,4852,4935.0,191.6699796442119,-175.4991834887445,-66.21044274173107,9.508,9.704,9.87,0.1960000000000015,0.3620000000000001,72.99270072992701,12,1.1268260186805716,81.8293495329857
5165,5263,5345.0,199.3309672894572,-179.53494902259243,-75.91559350730624,10.33,10.526,10.69,0.19599999999999973,0.35999999999999943,72.63922518159806,13,1.3434082525366469,76.41479368658383
5578,5676,5754.0,186.55293921622444,-172.24053596784162,-70.67736402939504,11.156,11.352,11.508,0.19599999999999973,0.35199999999999854,71.09004739336493,14,3.156087614738606,31.097809631534844
6000,6099,6176.0,199.32613254399277,-171.47190145983726,-75.25541062415776,12.0,12.198,12.352,0.1980000000000004,0.3520000000000003,72.28915662650603,15,0.9901607689047196,85.24598077738202
6415,6513,6594.0,193.36992241106145,-169.5870467291099,-75.7957676905408,12.83,13.026,13.188,0.19599999999999973,0.35800000000000054,73.71007371007371,16,0.7557799572054964,91.10550106986258
6822,6927,7006.0,196.4338456045374,-178.24460123968223,-101.68174055330952,13.644,13.854,14.012,0.20999999999999908,0.3680000000000003,71.42857142857143,17,1.3618606212191575,75.95348446952107
7242,7344,,205.21753002896247,-156.00053696239553,,14.484,14.688,,0.20400000000000063,,79.57559681697613,18,0.7332937686262938,91.66765578434266
7619,7718,7806.0,166.80750719738992,-140.10804640729418,-52.87019782520897,15.238,15.436,15.612,0.1980000000000004,0.37400000000000055,78.32898172323759,19,0.7289724492234583,91.77568876941353
