sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
225,318,,52.37562385337976,-52.54134008679422,,0.45,0.636,,0.186,,82.19178082191782,0,2.5320170238052198,46.69957440486951
590,813,985.0,46.09775129843046,-68.65584398660549,59.10663861397498,1.18,1.626,1.97,0.44599999999999995,0.79,50.59021922428331,1,1.1172926398763252,82.06768400309187
1183,1309,1389.0,142.73824496858416,-220.6253628618487,-82.8638611955164,2.366,2.618,2.778,0.2519999999999998,0.4119999999999999,95.54140127388536,2,0.991793180674098,85.20517048314755
1497,1803,,107.32182568277771,-43.4386637885493,,2.994,3.606,,0.6119999999999997,,82.19178082191782,3,0.9289796774629978,86.77550806342505
1862,1946,2028.0,-16.921621199295483,-76.43771457850261,28.293911810919724,3.724,3.892,4.056,0.1679999999999997,0.33199999999999985,115.38461538461539,4,0.5396542715779602,96.508643210551
2122,2205,2269.0,78.51775538006126,-30.29814380161819,-2.2328963033561346,4.244,4.41,4.538,0.16600000000000037,0.2940000000000005,80.64516129032258,5,-0.4247385229636253,120.61846307409063
2494,2724,2794.0,51.73155826280481,-63.44671976873265,32.148153211397485,4.988,5.448,5.588,0.45999999999999996,0.5999999999999996,59.28853754940712,6,0.6163504177256409,94.59123955685898
3000,3246,3321.0,71.83184970799498,-94.34953351197976,27.318928518094637,6.0,6.492,6.642,0.492,0.6420000000000003,64.37768240343347,7,0.4120471130649661,99.69882217337585
3466,3711,,102.87883278635084,-61.640233085251914,,6.932,7.422,,0.4899999999999993,,86.20689655172414,8,-3.452924970198993,196.32312425497483
3814,4064,,130.57013253367103,-60.220931263716984,,7.628,8.128,,0.5,,94.04388714733543,9,3.605326916545704,19.866827086357404
4133,4284,4381.0,56.302117052002146,-108.96016962836725,57.83798975857456,8.266,8.568,8.762,0.3019999999999996,0.49600000000000044,83.10249307479225,10,0.06793388105165245,108.30165297370868
4494,4744,4820.0,128.32347434022228,-132.92049897603982,-8.452227621865484,8.988,9.488,9.64,0.5,0.652000000000001,73.34963325183375,11,0.9058328765623663,87.35417808594084
4903,4967,5029.0,72.06769109350992,-31.926467980185915,63.808186192572954,9.806,9.934,10.058,0.1280000000000001,0.25200000000000067,118.11023622047244,12,1.380917834053548,75.4770541486613
5157,5272,5344.0,119.33205116038725,-139.34940996259658,24.58885842513399,10.314,10.544,10.688,0.23000000000000043,0.37400000000000055,76.92307692307692,13,0.9739834715072977,85.65041321231756
5547,5614,5682.0,85.89267187771523,-73.20174217974638,48.54244462904935,11.094,11.228,11.364,0.13400000000000034,0.27000000000000135,113.63636363636363,14,0.49776946300505437,97.55576342487365
5811,6079,6165.0,117.2326848130627,-138.9670833936588,83.72706516251867,11.622,12.158,12.33,0.5359999999999996,0.7080000000000002,55.452865064695004,15,0.9123821731474929,87.19044567131267
6352,6738,6826.0,156.48212675866617,-178.71569848226187,95.08265512045985,12.704,13.476,13.652,0.7720000000000002,0.9479999999999986,57.25190839694656,16,1.9360931233250935,61.59767191687266
6876,6953,7021.0,97.43505603458316,-54.30164017568115,58.14614313600893,13.752,13.906,14.042,0.15399999999999991,0.28999999999999915,109.4890510948905,17,0.8714042906286952,88.21489273428261
7150,7424,,64.46320751290637,-151.0122902438547,,14.3,14.848,,0.548,,79.15567282321899,18,0.8950119965981256,87.62470008504687
7529,7613,7700.0,91.46379285855092,-67.53318581957328,94.74872542599155,15.058,15.226,15.4,0.16800000000000104,0.3420000000000005,95.54140127388536,19,1.0075950886760014,84.81012278309996
7843,8102,,108.5504669554112,-131.15060085072423,,15.686,16.204,,0.5180000000000007,,87.46355685131195,20,1.158253175935491,81.04367060161272
8186,8316,8392.0,92.26575917697433,-65.79096290518719,85.93220885336471,16.372,16.632,16.784,0.26000000000000156,0.41199999999999903,83.79888268156425,21,0.7821599117437532,90.44600220640618
8544,8774,,105.39380563452485,-220.14176885873763,,17.088,17.548,,0.4599999999999973,,94.04388714733543,22,0.8986237806833878,87.5344054829153
8863,9096,,176.03830241988913,-6.477900020806325,,17.726,18.192,,0.4660000000000011,,97.7198697068404,23,1.2338053614784263,79.15486596303934
9170,9421,9502.0,112.85280740799473,-131.9372546710338,62.59879668771256,18.34,18.842,19.004,0.5019999999999989,0.6640000000000015,56.28517823639775,24,1.1223679396106983,81.94080150973255
9703,9954,,141.2569478612758,-67.93744458070353,,19.406,19.908,,0.5020000000000024,,97.40259740259741,25,0.8904163511770246,87.73959122057438
10011,10085,10175.0,-13.71622880234485,-155.12539585653903,75.51284778095079,20.022,20.17,20.35,0.14800000000000324,0.32800000000000296,83.79888268156425,26,1.1841870909866568,80.39532272533359
10369,10757,,132.93891822107463,-138.42933328966572,,20.738,21.514,,0.7759999999999998,,61.7283950617284,27,1.2165994404768257,79.58501398807935
