sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
41,108,,65.74498786368332,-41.020321950771944,,0.082,0.216,,0.134,,119.04761904761905,0,1.0581066632549059,83.54733341862735
293,384,455.0,170.26963976688668,-219.06972003774703,-58.187264370648144,0.586,0.768,0.91,0.18200000000000005,0.32400000000000007,73.17073170731707,1,1.0853069170671004,82.86732707332249
703,796,869.0,212.49993457788827,-197.48189299631474,-68.48763411057755,1.406,1.592,1.738,0.18600000000000017,0.3320000000000001,71.59904534606206,2,0.29467910450266116,102.63302238743347
1122,1214,1283.0,200.89607263461826,-183.7221548284424,-60.24585191630236,2.244,2.428,2.566,0.18399999999999972,0.3219999999999996,68.80733944954129,3,0.8919055165417609,87.70236208645598
1558,1645,1713.0,187.3554698706613,-180.89945414798427,-42.88596939757938,3.116,3.29,3.426,0.17399999999999993,0.31000000000000005,73.71007371007371,4,1.6915674280491546,67.71081429877114
1965,2055,2120.0,177.6651950142072,-177.66828367020585,-58.524230365050876,3.93,4.11,4.24,0.18000000000000016,0.31000000000000005,69.60556844547564,5,0.9911475645776059,85.22131088555986
2396,2490,2560.0,222.50676994544708,-206.07011297171337,-85.19126647547567,4.792,4.98,5.12,0.1880000000000006,0.3280000000000003,69.28406466512702,6,1.320178024989504,76.9955493752624
2829,2922,2992.0,223.797762440893,-214.42173955073773,-75.96180174259878,5.658,5.844,5.984,0.18599999999999994,0.3259999999999996,69.44444444444444,7,1.069545356094781,83.26136609763047
3261,3354,3424.0,229.91121527448163,-228.94988225123123,-76.94593193322267,6.522,6.708,6.848,0.18599999999999994,0.3259999999999996,69.12442396313364,8,1.099312292795863,82.51719268010342
3695,3786,3855.0,247.82207772788007,-230.14158295943298,-72.6888346379568,7.39,7.572,7.71,0.18200000000000038,0.3200000000000003,75.37688442211055,9,0.9547876990995839,86.1303075225104
4093,4185,4257.0,236.66321565998305,-221.71404204336488,-61.368504211188345,8.186,8.37,8.514,0.18399999999999928,0.3279999999999994,72.81553398058253,10,1.0717252261811243,83.20686934547189
