sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
233,317,395.0,68.1444682088805,-74.32082192297248,-23.097100479594083,0.466,0.634,0.79,0.16799999999999998,0.324,76.92307692307692,0,1.0652939708333184,83.36765072916704
623,710,785.0,71.40060144752228,-67.2365555369162,-20.972192367023883,1.246,1.42,1.57,0.17399999999999993,0.32400000000000007,79.36507936507937,1,1.4658924046769524,73.35268988307618
1001,1086,1165.0,67.1405580907345,-73.32462579379404,-25.055277995534315,2.002,2.172,2.33,0.17000000000000037,0.3280000000000003,78.32898172323759,2,1.336915255183158,76.57711862042105
1384,1474,1546.0,86.80997640955326,-60.43272291811145,-39.54546075370791,2.768,2.948,3.092,0.18000000000000016,0.3240000000000003,72.99270072992701,3,-0.2829398527265392,117.07349631816348
1795,1883,1965.0,87.75635743149111,-66.46711028022143,-22.517762918276826,3.59,3.766,3.93,0.17600000000000016,0.3400000000000003,70.2576112412178,4,-1.368789863431196,144.2197465857799
2222,2309,2389.0,67.12096360876403,-69.14357844687166,-19.26253703316089,4.444,4.618,4.778,0.17400000000000038,0.33399999999999963,72.63922518159806,5,-0.049551436381800894,111.23878590954502
2635,2724,2813.0,65.7417143782496,-73.10359624635682,-24.35930142805066,5.27,5.448,5.626,0.17800000000000082,0.35600000000000076,70.75471698113208,6,-0.28275084585593196,117.0687711463983
3059,3145,3289.0,76.75177367854728,-53.3797799444768,-10.266316107888846,6.118,6.29,6.578,0.1719999999999997,0.45999999999999996,69.44444444444444,7,0.09570184107515092,107.60745397312122
3491,3573,3646.0,67.84334703396253,-67.59810589018217,-10.46098168422204,6.982,7.146,7.292,0.1639999999999997,0.3099999999999996,76.14213197969544,8,3.092163611737188,32.695909706570305
3885,3973,4049.0,67.35254069604784,-59.962159055217974,-20.225561096804405,7.77,7.946,8.098,0.17600000000000016,0.3280000000000012,75.18796992481202,9,0.6763974506941821,93.09006373264545
4284,4372,4463.0,67.58493298873277,-66.4256586078509,-27.085234556359165,8.568,8.744,8.926,0.17600000000000016,0.35800000000000054,71.59904534606206,10,0.6115406279289058,94.71148430177735
4703,4790,,71.36651773993407,-70.3602475015631,,9.406,9.58,,0.1739999999999995,,73.34963325183375,11,0.8252838393217756,89.3679040169556
5112,5199,5284.0,70.63674003628728,-67.78383149331242,-17.64203903123585,10.224,10.398,10.568,0.1739999999999995,0.3439999999999994,81.30081300813008,12,1.215472297986553,79.61319255033618
5481,5571,,68.68218237296489,-66.27515432707357,,10.962,11.142,,0.17999999999999972,,85.47008547008548,13,0.13950810023972193,106.51229749400696
5832,5923,,71.88576380629145,-65.61117732589729,,11.664,11.846,,0.18200000000000038,,78.32898172323759,14,1.1706038413355309,80.73490396661172
6215,6307,,73.44363706404961,-68.46183393491059,,12.43,12.614,,0.18400000000000105,,73.17073170731707,15,3.338974958827077,26.525626029323064
