sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
185,419,,27.2552245498166,-19.771178230680054,,0.37,0.838,,0.46799999999999997,,72.46376811594203,0,0.6943030325845637,92.6424241853859
599,784,828.0,35.45580854907501,-16.951596217381113,-13.365659691532501,1.198,1.568,1.656,0.3700000000000001,0.45799999999999996,73.71007371007371,1,0.7540297099129186,91.14925725217704
1006,1218,,39.38779112624594,-22.907299138439043,,2.012,2.436,,0.42399999999999993,,61.224489795918366,2,0.5445712820818517,96.38571794795371
1496,1702,,38.516976109146,-27.984072969804295,,2.992,3.404,,0.4119999999999999,,66.96428571428571,3,1.362194817769667,75.94512955575833
1944,2035,2097.0,31.659195464329194,-20.245740462460784,-9.448555565329555,3.888,4.07,4.194,0.18200000000000038,0.30600000000000005,63.15789473684211,4,1.450393704899986,73.74015737750035
2419,2502,2561.0,29.474623777716424,-21.11024688762266,-7.040365720974618,4.838,5.004,5.122,0.16599999999999948,0.2839999999999998,64.79481641468682,5,0.6376206420722674,94.05948394819332
2882,3109,3198.0,25.798281192759426,-12.647732209550878,5.517760069527194,5.764,6.218,6.396,0.45399999999999974,0.6319999999999997,65.64551422319475,6,2.289760311493245,52.75599221266887
3339,3456,3523.0,25.482882622791863,-11.703787549265062,-3.896548495862068,6.678,6.912,7.046,0.23399999999999999,0.3680000000000003,66.96428571428571,7,-0.5622665316341153,124.05666329085288
3787,3892,3947.0,29.443109046967944,-16.13500411622985,-9.10054786131591,7.574,7.784,7.894,0.20999999999999996,0.3200000000000003,89.55223880597015,8,0.9132018822766736,87.16995294308316
4122,4400,,16.49743567203794,-16.21757768687032,,8.244,8.8,,0.5560000000000009,,67.87330316742081,9,0.9928590831423105,85.17852292144224
4564,4786,,25.148469719264657,-24.436466797120858,,9.128,9.572,,0.44399999999999906,,74.81296758104737,10,0.21081383954883445,104.72965401127914
4965,5133,5247.0,23.441601007501152,-18.923062437281377,13.618692729374905,9.93,10.266,10.494,0.3360000000000003,0.5640000000000001,77.12082262210797,11,0.7437329235926771,91.40667691018308
5354,5437,5498.0,29.56331851939434,-28.239056178775108,-8.8836736672636,10.708,10.874,10.996,0.16600000000000037,0.28800000000000026,81.52173913043478,12,0.8275454008251654,89.31136497937086
5722,5858,,20.552117218404767,-15.280203989781024,,11.444,11.716,,0.27199999999999847,,86.70520231213874,13,0.5249971088280441,96.8750722792989
