sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
297,384,455.0,266.8559094192246,-221.61195761180508,-34.84644867968979,0.594,0.768,0.91,0.17400000000000004,0.31600000000000006,99.66777408637874,0,1.771406835652822,65.71482910867945
598,687,,252.66871512994834,-245.98372740087055,,1.196,1.374,,0.17800000000000016,,97.0873786407767,1,0.4175194807659808,99.56201298085048
907,993,,273.5079901090252,-266.44650854104754,,1.814,1.986,,0.17199999999999993,,96.15384615384616,2,0.6072693386875013,94.81826653281247
1219,1307,1374.0,332.3086029447211,-264.064734833211,-104.05372726454529,2.438,2.614,2.748,0.1759999999999997,0.31000000000000005,94.04388714733543,3,0.3762878448174996,100.59280387956251
1538,1626,,301.7871758950619,-215.39326169705274,,3.076,3.252,,0.1759999999999997,,92.5925925925926,4,0.7185325968004591,92.03668507998853
1862,1944,2015.0,259.1388501384001,-226.9586711123577,-88.26093259041569,3.724,3.888,4.03,0.1639999999999997,0.30600000000000005,92.87925696594426,5,0.8189536257920756,89.5261593551981
2185,2270,2340.0,269.18755054248123,-207.53756852516062,-50.24433033881622,4.37,4.54,4.68,0.16999999999999993,0.3099999999999996,93.75,6,0.41166474756422466,99.70838131089438
2505,2587,2661.0,254.33117063808666,-243.24016328435215,-49.10774997250835,5.01,5.174,5.322,0.1640000000000006,0.3120000000000003,96.7741935483871,7,0.7745437004258481,90.6364074893538
2815,2900,2973.0,242.33449680005188,-226.0977844718169,-55.737127902291796,5.63,5.8,5.946,0.16999999999999993,0.31599999999999984,97.7198697068404,8,1.5231944488637144,71.92013877840714
3122,3203,3268.0,258.43656458144187,-221.60997476448082,-15.246432110444387,6.244,6.406,6.536,0.16199999999999992,0.2919999999999998,99.33774834437087,9,4.775429768398859,-9.385744209971477
3424,3512,3589.0,205.90875201943103,-213.75414375468637,-41.56793010184259,6.848,7.024,7.178,0.17600000000000016,0.33000000000000007,98.03921568627452,10,0.3694212086191325,100.76446978452168
3730,3818,,272.641184898785,-279.507910827389,,7.46,7.636,,0.17600000000000016,,97.7198697068404,11,0.02594413532793499,109.35139661680162
4037,4125,,275.7023803124657,-230.36423318428683,,8.074,8.25,,0.17600000000000016,,98.03921568627452,12,1.0002066769705418,84.99483307573645
4343,4429,4502.0,260.3762451645173,-202.66211539267297,-47.95816105580857,8.686,8.858,9.004,0.1720000000000006,0.3179999999999996,98.36065573770492,13,0.4362487383277029,99.09378154180743
4648,4728,4802.0,228.78015806615844,-193.22774723531094,-33.51513390996086,9.296,9.456,9.604,0.16000000000000014,0.30799999999999983,101.01010101010101,14,0.11573231052651868,107.10669223683703
