sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
288,448,516.0,6.768365241822051,-10.910232159347766,5.9776440760858325,0.576,0.896,1.032,0.32000000000000006,0.45600000000000007,56.39097744360902,0,3.1180596253153694,32.04850936711577
820,1041,,12.026048971229237,-19.781112092973128,,1.64,2.082,,0.44199999999999995,,69.93006993006993,1,0.7499936876221733,91.25015780944567
1249,1443,,23.14141551705504,-18.616864752920662,,2.498,2.886,,0.3879999999999999,,72.28915662650603,2,-1.2188240911821528,140.47060227955382
1664,1886,,15.27500168898007,-18.569962617189827,,3.328,3.772,,0.44399999999999995,,64.1025641025641,3,0.6761870471681953,93.09532382079512
2132,2342,,22.051124263008504,-13.71086089000132,,4.264,4.684,,0.41999999999999993,,63.42494714587738,4,0.30285672420469617,102.4285818948826
2605,2832,,21.597325385517316,-12.907730731374874,,5.21,5.664,,0.45399999999999974,,64.6551724137931,5,-0.4605956926546105,121.51489231636526
3069,3305,3442.0,12.444279623291234,-11.241062385149352,5.290679999473295,6.138,6.61,6.884,0.4720000000000004,0.7460000000000004,58.252427184466015,6,-0.5967147631695796,124.9178690792395
3584,3825,,16.351781412467396,-16.365209833237646,,7.168,7.65,,0.4820000000000002,,58.36575875486381,7,2.520998951637764,46.9750262090559
4098,4396,,22.311554425179253,-12.522841363627691,,8.196,8.792,,0.5960000000000001,,54.64480874316939,8,-13.17580333652378,439.3950834130945
4647,5041,,18.08065404054208,-10.814353952829851,,9.294,10.082,,0.7880000000000003,,56.92599620493358,9,-0.2370860905504881,115.9271522637622
5174,5394,,34.57430056975868,-24.44414686287886,,10.348,10.788,,0.4399999999999995,,61.34969325153374,10,-0.00814848304738615,110.20371207618466
5663,5885,6029.0,24.93130988165878,-22.349175402405653,6.327271903954525,11.326,11.77,12.058,0.44399999999999906,0.7319999999999993,60.72874493927126,11,-0.12795771822750976,113.19894295568774
6157,6449,6554.0,20.119428990268013,-17.6862931360254,8.858865205334467,12.314,12.898,13.108,0.5839999999999996,0.7940000000000005,55.55555555555555,12,-2.288496780143486,167.21241950358717
6697,6910,,9.776074861606439,-19.257183966643453,,13.394,13.82,,0.42600000000000016,,84.50704225352113,13,143.72082686541066,-3483.0206716352664
7052,7281,7438.0,21.680234827405553,-20.391201718383023,10.511661459569803,14.104,14.562,14.876,0.4580000000000002,0.7720000000000002,62.5,14,1.117672863799125,82.05817840502188
7532,7746,,21.999191771263586,-21.642221685731315,,15.064,15.492,,0.4280000000000008,,70.2576112412178,15,1.2636280804985676,78.40929798753581
7959,8184,,23.852217086837893,-13.220764377845393,,15.918,16.368,,0.4499999999999993,,66.51884700665188,16,36.89538573251317,-812.3846433128292
8410,8622,,18.92283503000204,-15.86926077075225,,16.82,17.244,,0.4239999999999995,,66.51884700665188,17,1.1141753554048874,82.14561611487781
