sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
254,339,408.0,254.96252038600124,-284.71536117505525,-96.66406565644508,0.508,0.678,0.816,0.17000000000000004,0.30799999999999994,89.55223880597015,0,0.9016253341349312,87.45936664662672
589,669,727.0,206.42458756383465,-194.47298518059043,-44.276428317771284,1.178,1.338,1.454,0.16000000000000014,0.276,90.36144578313252,1,0.278729824195743,103.03175439510642
921,1001,1061.0,241.86405619068904,-189.9159188092501,-19.44687946674487,1.842,2.002,2.122,0.1599999999999997,0.2799999999999998,92.5925925925926,2,0.2752453762340808,103.11886559414798
1245,1331,1400.0,205.02301662312743,-178.19813176763137,-63.06224865389763,2.49,2.662,2.8,0.1719999999999997,0.3099999999999996,94.33962264150944,3,-1.0479744738603514,136.1993618465088
1563,1647,1713.0,216.60328570410618,-184.99549238649476,-38.064375978300724,3.126,3.294,3.426,0.16800000000000015,0.30000000000000027,99.33774834437087,4,0.6557037915298978,93.60740521175256
1865,1951,2027.0,190.72427329398866,-190.06441310651732,-55.76592561744918,3.73,3.902,4.054,0.17200000000000015,0.3240000000000003,99.00990099009901,5,0.5141295032238499,97.14676241940376
2168,2254,,232.3269991356008,-215.89104059987196,,4.336,4.508,,0.1719999999999997,,92.02453987730061,6,0.9627780943371739,85.93054764157066
2494,2583,,219.9660542939711,-212.53657517092566,,4.988,5.166,,0.17799999999999994,,85.71428571428572,7,0.9616538678712516,85.95865330321871
2844,2931,3002.0,204.43753408596484,-173.6357573525562,-77.53656977107248,5.688,5.862,6.004,0.17400000000000038,0.31599999999999984,89.82035928143712,8,0.963140894108771,85.92147764728072
3178,3267,,178.53795051378722,-147.1286323948006,,6.356,6.534,,0.17799999999999994,,92.3076923076923,9,-1.1444457022247976,138.61114255561995
3503,3592,3642.0,168.69745630752806,-127.7649481415859,-93.63362026373126,7.006,7.184,7.284,0.17799999999999994,0.2779999999999996,90.9090909090909,10,-1.799480973393956,154.9870243348489
