sys_idx,notch_idx,dia_idx,systolic_amp,notch_amp,diastolic_amp,systolic_time,notch_time,diastolic_time,rise_time,pulse_width,heart_rate,beat_idx,R_ratio,SpO2_est
311,446,533.0,148.3109260729931,-149.08377271655084,4.484098095108252,0.622,0.892,1.066,0.27,0.44400000000000006,95.23809523809524,0,-0.620343576660363,125.50858941650907
626,896,,222.87156144771953,-206.5707955194436,,1.252,1.792,,0.54,,71.77033492822967,1,-20.116694883250346,612.9173720812587
1044,1358,,173.35397422549738,-218.50576360114596,,2.088,2.716,,0.6280000000000001,,65.78947368421052,2,0.18914020365922946,105.27149490851926
1500,1582,1720.0,162.52371041491875,-106.72226700622474,113.75436323112851,3.0,3.164,3.44,0.16400000000000015,0.43999999999999995,66.81514476614699,3,0.9452966381728038,86.3675840456799
1949,2126,,17.65376341994203,-39.95304763955662,,3.898,4.252,,0.35399999999999965,,89.82035928143712,4,1.1031610015411009,82.42097496147248
2283,2376,2525.0,99.23081127154573,-143.96273696042527,93.05847879985033,4.566,4.752,5.05,0.18599999999999994,0.484,62.63048016701462,5,1.151235858811821,81.21910352970448
2762,2849,2986.0,154.38422232146561,-162.14654501440992,72.83042173099984,5.524,5.698,5.972,0.17400000000000038,0.4480000000000004,64.51612903225806,6,2.065992642416141,58.350183939596484
3227,3315,3459.0,164.10911411907156,-223.03786271485794,123.87846025196016,6.454,6.63,6.918,0.17600000000000016,0.4640000000000004,66.3716814159292,7,2.0080424490583866,59.798938773540335
3679,3766,3911.0,204.52650448554877,-302.52175234345714,182.09739802334877,7.358,7.532,7.822,0.17400000000000038,0.4640000000000004,65.359477124183,8,1.0596733174586332,83.50816706353417
4138,4223,4342.0,221.87030620881174,-286.19075796752514,148.2419135159002,8.276,8.446,8.684,0.16999999999999993,0.4079999999999995,66.2251655629139,9,0.03849403867558377,109.03764903311041
4591,4684,4823.0,212.25422549256336,-272.87944711478457,137.20626237896937,9.182,9.368,9.646,0.18599999999999994,0.4640000000000004,65.78947368421052,10,0.2900612908719648,102.74846772820088
5047,5153,5272.0,207.9355839583706,-228.25445805206607,85.25725242173885,10.094,10.306,10.544,0.21199999999999974,0.45000000000000107,66.07929515418502,11,-1.7286262498640381,153.21565624660096
5501,5636,5726.0,138.9324365805197,-179.0014594567493,109.57993289693837,11.002,11.272,11.452,0.2699999999999996,0.4499999999999993,55.35055350553505,12,-1.5823906332009872,149.55976583002467
6043,6122,6190.0,74.51949176108323,-141.08820493172232,32.66329806883079,12.086,12.244,12.38,0.15799999999999947,0.2940000000000005,62.63048016701462,13,4.789684681730541,-9.74211704326352
6522,6610,6674.0,142.10945058615587,-134.49300706047646,-51.20702974142779,13.044,13.22,13.348,0.17600000000000016,0.30400000000000027,113.20754716981132,14,1.3531172403452782,76.17206899136804
6787,6893,,120.44420935950833,-105.34279339790932,,13.574,13.786,,0.21199999999999974,,111.1111111111111,15,0.8190121276004121,89.5246968099897
7057,7150,7282.0,129.03485184742894,-228.67611621357548,162.53576339639608,14.114,14.3,14.564,0.18599999999999994,0.4499999999999993,65.64551422319475,16,-0.27975206627870525,116.99380165696763
7514,7600,7757.0,206.4853597966361,-281.41358673660454,187.8668096908677,15.028,15.2,15.514,0.17199999999999882,0.4859999999999989,43.16546762589928,17,1.2001181141754855,79.99704714561287
8209,8538,8654.0,184.69665656017418,-237.36105982388946,149.11456432093027,16.418,17.076,17.308,0.6580000000000013,0.8900000000000006,44.64285714285714,18,2.388461420154943,50.28846449612643
8881,9005,9116.0,163.32827972346607,-222.35599490863245,114.48783960215665,17.762,18.01,18.232,0.2480000000000011,0.46999999999999886,42.796005706134096,19,1.5261111457437189,71.84722135640703
9582,9953,10041.0,143.89624708338005,-185.3465029186799,140.77946111893982,19.164,19.906,20.082,0.7419999999999973,0.9179999999999993,42.85714285714286,20,1.8416024829586952,63.95993792603262
10282,10410,10504.0,144.28629019055063,-141.93540392168063,102.26988089585234,20.564,20.82,21.008,0.2560000000000002,0.44399999999999906,66.81514476614699,21,1.474604104322817,73.13489739192957
10731,10873,10965.0,133.42863025623697,-188.38812191610515,97.66728016259287,21.462,21.746,21.93,0.2839999999999989,0.46799999999999997,63.829787234042556,22,3.1230041218169395,31.92489695457651
11201,11345,11427.0,64.69409637714207,-183.62172210940935,112.1928933867186,22.402,22.69,22.854,0.28800000000000026,0.4519999999999982,65.64551422319475,23,1.0326304419714758,84.18423895071311
11658,11805,11877.0,114.94281396226768,-158.42711916301278,47.659073771206,23.316,23.61,23.754,0.2940000000000005,0.4380000000000024,90.09009009009009,24,7.226352373044815,-70.65880932612038
11991,12285,12352.0,138.77794846729284,-176.2693418543651,14.795608019772079,23.982,24.57,24.704,0.588000000000001,0.7220000000000013,65.64551422319475,25,-0.9257018236411455,133.14254559102864
12448,12731,,136.7486750785393,-145.87689663184105,,24.896,25.462,,0.565999999999999,,86.95652173913044,26,0.8663715170799282,88.3407120730018
12793,13040,,13.186625190132776,-86.25212626050282,,25.586,26.08,,0.4939999999999998,,89.28571428571428,27,0.4519732206668611,98.70066948332847
13129,13714,,170.6074558194763,-202.09631688238437,,26.258,27.428,,1.1700000000000017,,42.5531914893617,28,0.7562086000972573,91.09478499756857
13834,14176,,148.78652263585477,-251.40854111226187,,27.668,28.352,,0.684000000000001,,62.37006237006237,29,1.5636995491431172,70.90751127142207
14315,14632,,212.01991932200553,-275.22273052248937,,28.63,29.264,,0.6340000000000003,,65.359477124183,30,0.8886047088784795,87.78488227803801
14774,15123,15213.0,198.75974955881728,-214.73098358937537,89.73033273822814,29.548,30.246,30.426,0.6980000000000004,0.8780000000000001,44.44444444444444,31,3.0182600904293047,34.54349773926738
15449,15586,15659.0,149.80430851641273,-140.95827025184278,79.84091802492489,30.898,31.172,31.318,0.2740000000000009,0.4200000000000017,55.865921787709496,32,-1.4064194800233967,145.1604870005849
15986,16134,16230.0,136.65153036366635,-104.95092238157365,106.72808407979468,31.972,32.268,32.46,0.2959999999999994,0.48799999999999955,65.78947368421052,33,0.5747097251888155,95.63225687027962
16442,16577,,133.71156247017362,-178.98595948966826,,32.884,33.154,,0.2700000000000031,,100.0,34,-0.7631258034900738,129.07814508725184
16742,17044,17184.0,322.484064445555,-225.52399541027435,190.24712617488674,33.484,34.088,34.368,0.6039999999999992,0.8840000000000003,46.3678516228748,35,-0.04630377818811719,111.15759445470293
17389,17495,,209.96412954073756,-269.9368048851792,,34.778,34.99,,0.2120000000000033,,114.50381679389312,36,0.4715307467488419,98.21173133127895
17651,17962,,171.29324809124577,-363.88167346277453,,35.302,35.924,,0.6219999999999999,,66.07929515418502,37,14.427877073216834,-250.69692683042086
18105,18416,,257.9873635014375,-295.0217896871985,,36.21,36.832,,0.6219999999999999,,65.359477124183,38,-2.622887938624006,175.57219846560014
18564,18902,19016.0,203.40766893232777,-169.93723061257586,131.61552297903248,37.128,37.804,38.032,0.6760000000000019,0.9039999999999964,44.44444444444444,39,2.1157823557359574,57.10544110660106
19239,19383,19459.0,164.56849767930072,-186.86732362034425,42.87374835908279,38.478,38.766,38.918,0.2879999999999967,0.4399999999999977,90.09009009009009,40,2.9043243630964595,37.391890922588516
19572,19882,,115.75127569367623,-93.83304575228868,,39.144,39.764,,0.6200000000000045,,90.63444108761328,41,-0.19033443525323865,114.75836088133097
19903,20169,,-90.85085394794844,-169.58572948596657,,39.806,40.338,,0.5320000000000036,,80.64516129032258,42,0.5050740385734921,97.37314903566269
20275,20392,,180.7612006293919,-271.1741556582885,,40.55,40.784,,0.23400000000000176,,118.57707509881423,43,3.8332322367790814,14.16919408052297
20528,20852,,269.0342450331374,-344.90730281315365,,41.056,41.704,,0.6480000000000032,,63.15789473684211,44,-1.3978735793107848,144.94683948276963
21003,21338,,219.83047324802143,-211.3156627459503,,42.006,42.676,,0.6700000000000017,,68.02721088435374,45,1.2053921825094875,79.86519543726281
21444,21823,21894.0,201.0487584432014,-197.84249584839395,68.32670580240058,42.888,43.646,43.788,0.7580000000000027,0.8999999999999986,54.54545454545454,46,1.038521013362491,84.03697466593772
21994,22292,,79.38222742658361,-200.52675843771888,,43.988,44.584,,0.5960000000000036,,64.79481641468682,47,1.0774472274086777,83.06381931478306
22457,22801,,131.37763416157588,-178.76101300947911,,44.914,45.602,,0.6879999999999953,,63.965884861407254,48,-5.270786803824927,241.76967009562318
22926,23271,,197.77016785993956,-289.10597828547986,,45.852,46.542,,0.6900000000000048,,64.37768240343347,49,0.3101701629632636,102.24574592591841
23392,23723,,242.3146801014873,-348.85035302446397,,46.784,47.446,,0.661999999999999,,63.42494714587738,50,1.8781641693293183,63.045895766767046
23865,24192,,227.3260576699359,-206.10250801300919,,47.73,48.384,,0.6540000000000035,,66.3716814159292,51,0.7266930176896188,91.83267455775953
24317,24421,24530.0,145.39079388506815,-76.00657759515123,89.16691591109883,48.634,48.842,49.06,0.2079999999999984,0.42600000000000193,96.7741935483871,52,0.5090265326552094,97.27433668361977
24627,24701,24763.0,2.57571098225549,-88.96155679537644,-0.5921642008157868,49.254,49.402,49.526,0.14800000000000324,0.27200000000000557,63.965884861407254,53,0.011529419118401196,109.71176452203997
25096,25225,,114.16522122673429,-163.8997691141918,,50.192,50.45,,0.25800000000000267,,118.11023622047244,54,1.3241108507485893,76.89722873128527
25350,25688,,160.0277392932653,-277.36408517860895,,50.7,51.376,,0.6759999999999948,,61.601642710472284,55,1.640661622169571,68.98345944576073
25837,26167,,213.86614757753588,-168.7576446599457,,51.674,52.334,,0.6600000000000037,,67.41573033707866,56,0.7593785227576036,91.01553693105991
26282,26417,26492.0,136.74969928085685,-27.98623740320591,71.67751593711192,52.564,52.834,52.984,0.2700000000000031,0.4200000000000017,94.33962264150944,57,0.5507138514051951,96.23215371487012
26600,26984,,32.78575248715501,-126.97743668302941,,53.2,53.968,,0.7680000000000007,,61.98347107438017,58,0.7192723253066182,92.01819186733454
27084,27203,,186.75646198674133,-232.73787589822103,,54.168,54.406,,0.23799999999999955,,112.35955056179775,59,0.4413974313909452,98.96506421522636
27351,27669,,249.7742000905939,-315.202349314803,,54.702,55.338,,0.6360000000000028,,65.93406593406593,60,2.364261841034758,50.893453974131056
27806,27896,28023.0,230.61556356235207,-135.32938008683314,122.19653798933265,55.612,55.792,56.046,0.17999999999999972,0.4339999999999975,67.11409395973155,61,0.5458057978647184,96.35485505338204
28253,28648,28714.0,134.34599175422662,-153.47245887464302,13.046882388383972,56.506,57.296,57.428,0.7899999999999991,0.921999999999997,52.72407732864675,62,0.8868445425547566,87.82888643613109
28822,29161,,153.2174916682496,-174.605670432792,,57.644,58.322,,0.6780000000000044,,60.851926977687626,63,1.7316185124459404,66.7095371888515
29315,29642,,209.10454748987553,-340.96636579991264,,58.63,59.284,,0.6539999999999964,,63.829787234042556,64,1.8053704536718311,64.86573865820422
29785,30104,,279.10842628436734,-228.5673815936901,,59.57,60.208,,0.6379999999999981,,67.87330316742081,65,1.2143816494405761,79.64045876398559
30227,30621,30677.0,170.88761724911163,-73.76685471458035,0.7747809636571885,60.454,61.242,61.354,0.7879999999999967,0.8999999999999986,52.447552447552454,66,1.384799078014873,75.38002304962818
30799,31125,,97.36140883572469,-149.54253706885797,,61.598,62.25,,0.652000000000001,,63.42494714587738,67,0.2745880907585086,103.13529773103728
31272,31613,,152.30913973169473,-290.4181170247741,,62.544,63.226,,0.6820000000000022,,63.15789473684211,68,-1.7453728063275205,153.63432015818802
